year,month,key,count
2011,6,more than $100.000.000,21
2011,5,more than $100.000.000,13
2011,4,more than $100.000.000,20
2011,3,more than $100.000.000,19
2011,2,more than $100.000.000,84
2011,1,more than $100.000.000,14
2011,0,more than $100.000.000,25
2011,11,more than $100.000.000,17
2011,10,more than $100.000.000,17
2011,9,more than $100.000.000,14
2011,8,more than $100.000.000,14
2011,7,more than $100.000.000,15
2013,3,more than $1.000.000.000,3
2013,4,more than $1.000.000.000,0
2013,1,more than $1.000.000.000,6
2013,2,more than $1.000.000.000,1
2012,11,less than $100K,1194
2014,1,more than $1.000.000,126
2012,10,less than $100K,1256
2014,2,more than $1.000.000,169
2013,0,more than $1.000.000.000,1
2014,0,more than $1.000.000,141
2012,10,more than $10.000.000.000,0
2012,9,more than $10.000.000.000,0
2014,11,more than $1.000.000,89
2012,8,more than $10.000.000.000,0
2012,7,more than $10.000.000.000,0
2012,6,more than $10.000.000.000,0
2012,5,more than $10.000.000.000,0
2012,4,more than $10.000.000.000,0
2012,3,more than $10.000.000.000,3
2014,5,more than $1.000.000,185
2012,2,more than $10.000.000.000,0
2014,6,more than $1.000.000,191
2012,1,more than $10.000.000.000,0
2014,3,more than $1.000.000,261
2012,0,more than $10.000.000.000,0
2014,4,more than $1.000.000,173
2014,9,more than $1.000.000,156
2014,10,more than $1.000.000,192
2014,7,more than $1.000.000,167
2014,8,more than $1.000.000,154
2013,11,more than $100.000,237
2013,10,more than $100.000,265
2013,9,more than $100.000,221
2012,11,more than $10.000.000.000,0
2011,11,more than $10.000.000.000,1
2011,10,more than $10.000.000.000,0
2011,9,more than $10.000.000.000,1
2011,8,more than $10.000.000.000,0
2011,7,more than $10.000.000.000,0
2013,9,more than $1.000.000,137
2011,6,more than $10.000.000.000,0
2013,10,more than $1.000.000,165
2011,5,more than $10.000.000.000,0
2013,7,more than $1.000.000,130
2011,4,more than $10.000.000.000,0
2013,8,more than $1.000.000,121
2011,3,more than $10.000.000.000,0
2011,2,more than $10.000.000.000,1
2011,1,more than $10.000.000.000,0
2013,11,more than $1.000.000,147
2011,0,more than $10.000.000.000,1
2014,8,more than $100.000,246
2014,7,more than $100.000,258
2014,6,more than $100.000,287
2014,5,more than $100.000,333
2014,11,more than $100.000,119
2014,10,more than $100.000,295
2014,9,more than $100.000,223
2010,10,more than $100.000.000,22
2010,9,more than $100.000.000,17
2012,1,less than $100K,1111
2010,8,more than $100.000.000,22
2012,0,less than $100K,1131
2010,7,more than $100.000.000,15
2010,6,more than $100.000.000,25
2010,5,more than $100.000.000,14
2010,4,more than $100.000.000,9
2010,3,more than $100.000.000,20
2012,7,less than $100K,1428
2014,0,more than $100.000,260
2013,11,more than $1.000.000.000,1
2012,6,less than $100K,1103
2012,9,less than $100K,1336
2013,9,more than $1.000.000.000,1
2012,8,less than $100K,1727
2013,10,more than $1.000.000.000,2
2012,3,less than $100K,1419
2014,4,more than $100.000,292
2013,7,more than $1.000.000.000,1
2012,2,less than $100K,1227
2014,3,more than $100.000,404
2013,8,more than $1.000.000.000,2
2012,5,less than $100K,1046
2014,2,more than $100.000,261
2013,5,more than $1.000.000.000,1
2012,4,less than $100K,1132
2014,1,more than $100.000,221
2010,11,more than $100.000.000,29
2013,6,more than $1.000.000.000,4
2010,2,more than $100.000.000,32
2010,1,more than $100.000.000,31
2010,0,more than $100.000.000,19
2014,11,more than $1.000.000.000,1
2014,9,more than $1.000.000.000,1
2014,10,more than $1.000.000.000,1
2014,7,more than $1.000.000.000,0
2014,8,more than $1.000.000.000,0
2014,5,more than $1.000.000.000,2
2014,6,more than $1.000.000.000,2
2014,3,more than $1.000.000.000,3
2014,4,more than $1.000.000.000,2
2014,1,more than $1.000.000.000,2
2014,2,more than $1.000.000.000,2
2012,11,more than $100.000.000,16
2012,0,more than $100.000,200
2012,2,more than $100.000.000,21
2012,1,more than $100.000.000,28
2012,0,more than $100.000.000,19
2012,4,more than $100.000,209
2012,3,more than $100.000,283
2012,2,more than $100.000,227
2012,1,more than $100.000,231
2012,8,more than $100.000,255
2012,10,more than $100.000.000,15
2012,7,more than $100.000,214
2012,9,more than $100.000.000,14
2014,1,less than $100K,8232
2012,6,more than $100.000,152
2012,8,more than $100.000.000,17
2014,0,less than $100K,8615
2012,5,more than $100.000,188
2012,7,more than $100.000.000,20
2012,6,more than $100.000.000,10
2012,11,more than $100.000,196
2012,5,more than $100.000.000,6
2012,10,more than $100.000,189
2012,4,more than $100.000.000,6
2012,9,more than $100.000,223
2012,3,more than $100.000.000,10
2013,1,more than $1.000.000,149
2013,2,more than $1.000.000,79
2014,0,more than $1.000.000.000,0
2013,0,more than $1.000.000,100
2013,5,more than $1.000.000,69
2013,6,more than $1.000.000,85
2013,3,more than $1.000.000,108
2013,4,more than $1.000.000,103
2013,0,more than $100.000,115
2013,3,less than $100K,7454
2013,4,more than $100.000,171
2013,2,less than $100K,8057
2013,3,more than $100.000,157
2013,5,less than $100K,7040
2013,2,more than $100.000,155
2013,4,less than $100K,8127
2013,1,more than $100.000,213
2013,8,more than $100.000,216
2013,7,more than $100.000,206
2013,1,less than $100K,5573
2013,6,more than $100.000,125
2013,0,less than $100K,856
2013,5,more than $100.000,118
2012,5,more than $1.000.000,120
2010,2,more than $10.000.000.000,0
2012,6,more than $1.000.000,117
2010,1,more than $10.000.000.000,1
2012,3,more than $1.000.000,181
2010,0,more than $10.000.000.000,0
2012,4,more than $1.000.000,145
2012,9,more than $1.000.000,130
2012,10,more than $1.000.000,129
2012,7,more than $1.000.000,129
2012,8,more than $1.000.000,145
2012,1,more than $1.000.000,136
2012,2,more than $1.000.000,113
2012,0,more than $1.000.000,116
2010,11,more than $10.000.000.000,0
2010,10,more than $10.000.000.000,0
2010,9,more than $10.000.000.000,1
2012,11,more than $1.000.000,119
2010,8,more than $10.000.000.000,0
2010,7,more than $10.000.000.000,0
2010,6,more than $10.000.000.000,0
2010,5,more than $10.000.000.000,0
2010,4,more than $10.000.000.000,0
2010,3,more than $10.000.000.000,1
2013,11,less than $100K,8199
2013,10,less than $100K,7899
2013,7,less than $100K,7910
2013,6,less than $100K,7042
2013,9,less than $100K,7759
2013,8,less than $100K,7460
2011,4,more than $100.000,243
2011,3,more than $100.000,273
2011,2,more than $100.000,704
2011,1,more than $100.000,189
2011,8,more than $100.000,189
2011,7,more than $100.000,222
2011,6,more than $100.000,252
2011,5,more than $100.000,223
2011,11,more than $100.000,179
2011,10,more than $100.000,179
2011,9,more than $100.000,210
2011,0,more than $100.000,228
2010,7,less than $100K,1526
2010,6,less than $100K,2347
2010,0,more than $1.000.000.000,1
2010,9,less than $100K,1249
2010,8,less than $100K,1194
2010,3,less than $100K,3119
2010,2,less than $100K,1495
2010,5,less than $100K,1117
2010,4,less than $100K,1080
2010,11,less than $100K,1688
2010,10,less than $100K,1314
2013,11,more than $100.000.000,19
2013,10,more than $100.000.000,15
2010,11,more than $1.000.000.000,0
2013,9,more than $100.000.000,13
2013,8,more than $100.000.000,13
2010,9,more than $1.000.000.000,2
2013,7,more than $100.000.000,14
2010,10,more than $1.000.000.000,0
2010,7,more than $1.000.000.000,1
2010,8,more than $1.000.000.000,1
2010,1,less than $100K,1203
2010,5,more than $1.000.000.000,1
2010,0,less than $100K,1089
2010,6,more than $1.000.000.000,3
2010,3,more than $1.000.000.000,2
2010,4,more than $1.000.000.000,2
2010,1,more than $1.000.000.000,0
2010,2,more than $1.000.000.000,1
2013,6,more than $100.000.000,11
2013,5,more than $100.000.000,5
2013,4,more than $100.000.000,10
2013,3,more than $100.000.000,14
2013,2,more than $100.000.000,9
2013,1,more than $100.000.000,29
2013,0,more than $100.000.000,14
2014,7,less than $100K,9249
2011,11,more than $1.000.000.000,0
2014,6,less than $100K,10078
2014,9,less than $100K,9126
2011,9,more than $1.000.000.000,2
2014,8,less than $100K,10561
2011,10,more than $1.000.000.000,1
2014,3,less than $100K,9213
2011,7,more than $1.000.000.000,1
2014,2,less than $100K,8835
2011,8,more than $1.000.000.000,1
2014,5,less than $100K,9557
2011,5,more than $1.000.000.000,0
2014,4,less than $100K,8983
2011,6,more than $1.000.000.000,8
2011,3,more than $1.000.000.000,1
2011,4,more than $1.000.000.000,0
2011,1,more than $1.000.000.000,1
2011,2,more than $1.000.000.000,8
2014,11,less than $100K,7656
2014,10,less than $100K,9995
2011,0,more than $1.000.000.000,1
2014,2,more than $10.000.000.000,0
2014,1,more than $10.000.000.000,0
2014,0,more than $10.000.000.000,0
2011,9,more than $1.000.000,133
2011,10,more than $1.000.000,112
2011,7,more than $1.000.000,153
2011,8,more than $1.000.000,114
2011,11,more than $1.000.000,82
2014,11,more than $10.000.000.000,0
2011,1,more than $1.000.000,139
2014,10,more than $10.000.000.000,0
2011,2,more than $1.000.000,458
2014,9,more than $10.000.000.000,0
2014,8,more than $10.000.000.000,0
2011,0,more than $1.000.000,144
2014,7,more than $10.000.000.000,0
2011,5,more than $1.000.000,127
2014,6,more than $10.000.000.000,0
2011,6,more than $1.000.000,149
2014,5,more than $10.000.000.000,1
2011,3,more than $1.000.000,173
2014,4,more than $10.000.000.000,0
2011,4,more than $1.000.000,159
2014,3,more than $10.000.000.000,3
2011,3,less than $100K,1484
2013,6,more than $10.000.000.000,0
2011,2,less than $100K,2918
2013,5,more than $10.000.000.000,0
2011,5,less than $100K,1266
2013,4,more than $10.000.000.000,1
2011,4,less than $100K,1414
2013,3,more than $10.000.000.000,0
2010,1,more than $1.000.000,159
2013,2,more than $10.000.000.000,0
2010,2,more than $1.000.000,196
2013,1,more than $10.000.000.000,1
2011,1,less than $100K,1055
2013,0,more than $10.000.000.000,0
2011,0,less than $100K,1269
2010,0,more than $1.000.000,106
2011,11,less than $100K,1061
2011,10,less than $100K,1293
2011,7,less than $100K,1300
2011,6,less than $100K,1514
2011,9,less than $100K,1171
2011,8,less than $100K,1242
2010,11,more than $1.000.000,161
2010,5,more than $1.000.000,107
2010,6,more than $1.000.000,137
2010,3,more than $1.000.000,139
2010,4,more than $1.000.000,115
2013,11,more than $10.000.000.000,0
2010,9,more than $1.000.000,109
2013,10,more than $10.000.000.000,1
2010,10,more than $1.000.000,118
2013,9,more than $10.000.000.000,0
2010,7,more than $1.000.000,126
2013,8,more than $10.000.000.000,0
2010,8,more than $1.000.000,115
2013,7,more than $10.000.000.000,0
2012,11,more than $1.000.000.000,1
2012,9,more than $1.000.000.000,2
2012,10,more than $1.000.000.000,0
2014,10,more than $100.000.000,22
2014,9,more than $100.000.000,16
2014,8,more than $100.000.000,18
2014,7,more than $100.000.000,12
2014,6,more than $100.000.000,11
2014,5,more than $100.000.000,16
2014,4,more than $100.000.000,16
2014,3,more than $100.000.000,29
2014,11,more than $100.000.000,15
2010,8,more than $100.000,216
2010,7,more than $100.000,219
2010,6,more than $100.000,237
2010,5,more than $100.000,181
2010,11,more than $100.000,313
2010,10,more than $100.000,200
2010,9,more than $100.000,177
2014,2,more than $100.000.000,23
2014,1,more than $100.000.000,13
2014,0,more than $100.000.000,11
2012,7,more than $1.000.000.000,2
2012,8,more than $1.000.000.000,1
2012,5,more than $1.000.000.000,2
2012,6,more than $1.000.000.000,1
2012,3,more than $1.000.000.000,1
2012,4,more than $1.000.000.000,1
2012,1,more than $1.000.000.000,1
2012,2,more than $1.000.000.000,1
2010,0,more than $100.000,162
2012,0,more than $1.000.000.000,2
2010,4,more than $100.000,197
2010,3,more than $100.000,235
2010,2,more than $100.000,311
2010,1,more than $100.000,231
